SID,LON,LAT,NAME,SUPERMARKET
2001.000000000000000,-1.004570000000000,50.908009999999900,Morrisons - Horndean - Lakesmere Road -  Waterlooville PO8 9FB,Morrisons
2002.000000000000000,-2.757030000000000,50.724139999999900,Morrisons - Bridport - West Bay Road -  Bridport DT6 4SB,Morrisons
2003.000000000000000,0.262900000000000,51.130000000000000,Morrisons - Tunbridge - Vale Road -  Royal Tunbridge Wells -  TN1 1BT,Morrisons
2004.000000000000000,1.126840000000000,51.370260000000000,Morrisons - Herne Bay - Beach Street -  Herne Bay CT6 5PU,Morrisons
2005.000000000000000,-1.939900000000000,50.728700000000000,Morrisons - Parkstone - 315 Ashley Road -  Poole -  BH14 0AP,Morrisons
2006.000000000000000,0.161800000000000,51.060099999999900,Morrisons - Crowborough - Fernbank Shopping Ctr -  Crowborough -  TN6 2QB,Morrisons
2007.000000000000000,-1.046090000000000,50.825400000000000,Morrisons - Anchorage Park - Portsmouth PO3 5UH,Morrisons
2008.000000000000000,-1.549630000000000,50.757280000000000,Morrisons - Lymington - Stanford Road -  Lymington SO41 9GF,Morrisons
2009.000000000000000,-1.127490000000000,50.794670000000000,Morrisons - Gosport - 15 Walpole Road -  Gosport PO12 1NQ,Morrisons
2010.000000000000000,1.062140000000000,51.271230000000000,Morrisons - Canterbury 2 - Ten Perch Road -  Canterbury CT1 3TQ,Morrisons
2011.000000000000000,1.085700000000000,51.275799999999900,Morrisons - Canterbury 1 - St Georges Place -  Canterbury -  CT1 1UT,Morrisons
2012.000000000000000,-2.465360000000000,50.634839999999900,Morrisons - Weymouth - Manor Roundabout -  Dorchester Road -  DT3 5AX,Morrisons
2013.000000000000000,-1.290200000000000,50.698160000000000,Morrisons - Newport - South Street -  Newport -  Isle Of Wight PO30 1JQ,Morrisons
2014.000000000000000,-0.673960000000000,50.784149999999900,Morrisons - Bognor Regis - Bedford Street -  Bognor Regis PO21 1RP,Morrisons
2015.000000000000000,0.014600000000000,50.874499999999900,Morrisons - Lewes - Eastgate Street -  Lewes -  BN7 2LP,Morrisons
2016.000000000000000,-1.182030000000000,50.646259999999900,Morrisons - Lake  Isle Of Wight  - Newport Road -  Sandown PO36 9PA,Morrisons
2017.000000000000000,-4.145700000000000,50.537129999999900,Morrisons - Tavistock - Plymouth Road -  Tavistock PL19 9DS,Morrisons
2018.000000000000000,1.161120000000000,51.085259999999900,Morrisons - Folkestone - 148 Cheriton Road -  Folkestone CT19 5JU,Morrisons
2019.000000000000000,-3.583060000000000,50.429130000000000,Morrisons - Paignton - Totnes Road -  Paignton TQ4 7ET,Morrisons
2020.000000000000000,-3.682690000000000,50.431750000000000,Morrisons - Totnes - Coronation Road -  Totnes TQ9 5DF,Morrisons
2021.000000000000000,0.099340000000000,50.771880000000000,Morrisons - Seaford - Dane Road -  Seaford BN25 1DL,Morrisons
2022.000000000000000,-4.450600000000000,50.451059999999900,Morrisons - Liskeard - Maudlin Farm -  Plymouth Road PL14 3PR,Morrisons
2023.000000000000000,-4.706380000000000,50.467810000000000,Morrisons - Bodmin - Prior Road -  Bodmin PL31 2ST,Morrisons
2024.000000000000000,0.583800000000000,50.860100000000000,Morrisons - Hastings - Queens Road -  Hastings TN34 1RN,Morrisons
2025.000000000000000,0.583800000000000,50.860100000000000,Morrisons - Hastings - Queens Road -  Hastings -  TN34 1RN,Morrisons
2026.000000000000000,0.267820000000000,50.772480000000000,Morrisons - Eastbourne - High Street -  Eastbourne BN21 1HH,Morrisons
2027.000000000000000,-4.141030000000000,50.397150000000000,Morrisons - Plymouth - Outland Road -  Plymouth -  Devon PL3 8UQ,Morrisons
2028.000000000000000,-4.098540000000000,50.366860000000000,Morrisons - Plymstock - Bilacombe Road -  Plymstock PL9 7BH,Morrisons
2029.000000000000000,-5.063000000000000,50.403359999999900,Morrisons - Newquay - Treloggan Road -  Newquay TR7 2JQ,Morrisons
2030.000000000000000,-5.260500000000000,50.228700000000000,Morrisons - Redruth - Agar Road -  Illogen Highway TR15 3NH,Morrisons
2031.000000000000000,-5.512070000000000,50.128239999999900,Morrisons - Penzance - Eastern Way -  Penzance TR18 3RF,Morrisons
2032.000000000000000,-2.510000000000000,53.198000000000000,Morrisons - Winsford - Nat Lane -  Winsford CW7 3BS,Morrisons
2033.000000000000000,-3.247430000000000,55.926780000000000,Chesser,Asda
2034.000000000000000,-3.101530000000000,55.938859999999900,Edinburgh Supercentre,Asda
2035.000000000000000,-3.406110000000000,56.081350000000000,Dunfermline,Asda
2036.000000000000000,-3.510490000000000,55.884610000000000,Livingston Supercentre,Asda
2037.000000000000000,-3.452040000000000,56.064360000000000,St Leonards,Asda
2038.000000000000000,-3.144150000000000,56.135280000000000,Kirkcaldy,Asda
2039.000000000000000,-3.717820000000000,56.020159999999900,Grangemouth,Asda
2040.000000000000000,-3.781610000000000,55.999209999999900,Falkirk,Asda
2041.000000000000000,-2.509360000000000,55.996079999999900,Dunbar,Asda
2042.000000000000000,-2.805280000000000,55.617420000000000,Galashiels,Asda
2043.000000000000000,-3.782320000000000,56.119399999999900,Alloa,Asda
2044.000000000000000,-3.859610000000000,55.771349999999900,Newmains,Asda
2045.000000000000000,-3.987460000000000,55.947530000000000,Cumbernauld,Asda
2046.000000000000000,-3.994920000000000,55.793559999999900,Motherwell,Asda
2047.000000000000000,-4.024620000000000,55.861539999999900,Coatbridge,Asda
2048.000000000000000,-3.444070000000000,56.408020000000000,Perth,Asda
2049.000000000000000,-4.031440000000000,55.777839999999900,Hamilton,Asda
2050.000000000000000,-4.094540000000000,55.794750000000000,Blantyre,Asda
2051.000000000000000,-4.136880000000000,55.872970000000000,Glasgow Fort Living,Asda
2052.000000000000000,-2.925370000000000,56.474829999999900,Dundee Milton,Asda
2053.000000000000000,-2.979330000000000,56.488039999999900,Dundee Kirkton,Asda
2054.000000000000000,-4.184510000000000,55.891159999999900,Robroyston,Asda
2055.000000000000000,-4.201600000000000,55.853999999999900,Parkhead Forge,Asda
2056.000000000000000,-4.214600000000000,55.913989999999900,Bishopbriggs,Asda
2057.000000000000000,-4.243350000000000,55.829880000000000,Toryglen,Asda
2058.000000000000000,-4.290600000000000,55.900019999999900,Maryhill,Asda
2059.000000000000000,-4.318840000000000,55.917470000000000,Bearsden,Asda
2060.000000000000000,-4.322910000000000,55.851770000000000,Govan,Asda
2061.000000000000000,-4.332540000000000,55.772489999999900,Newton Mearns,Asda
2062.000000000000000,-4.401300000000000,55.905099999999900,Clydebank,Asda
2063.000000000000000,-4.466150000000000,55.842689999999900,Linwood,Asda
2064.000000000000000,-4.557500000000000,55.944200000000000,Dumbarton,Asda
2065.000000000000000,-4.487560000000000,55.602249999999900,Kilmarnock,Asda
2066.000000000000000,-4.674050000000000,55.612699999999900,Irvine,Asda
2067.000000000000000,-4.598220000000000,55.477260000000000,Ayr,Asda
2068.000000000000000,-4.817920000000000,55.638509999999900,Ardrossan,Asda
2069.000000000000000,-2.947320000000000,54.928210000000000,Carlisle,Asda
2070.000000000000000,-4.850630000000000,55.246850000000000,Girvan,Asda
2071.000000000000000,-1.564930000000000,55.184559999999900,Ashington,Asda
